Id,OwnerId
003fn00000DaQkUAAV,005fn000006vfZJAAY
003fn00000DaQkVAAV,005fn000006vfZKAAY
003fn00000DaQkWAAV,005fn000006vfZOAAY
003fn00000DaQkYAAV,005fn000006vfZMAAY
003fn00000DaQkZAAV,005fn000006vfZLAAY
003fn00000DaQkaAAF,005fn000006vfZIAAY
003fn00000DaQkbAAF,005fn000006vfZOAAY
003fn00000DaQkcAAF,005fn000006vfZJAAY
003fn00000DaQkdAAF,005fn000006vfZOAAY
003fn00000DaQkeAAF,005fn000006vfZMAAY
003fn00000DaQkgAAF,005fn000006vfZPAAY
003fn00000DaQkhAAF,005fn000006vfZIAAY
003fn00000DaQkiAAF,005fn000006vfZQAAY
003fn00000DaQkjAAF,005fn000006vfZLAAY
003fn00000DaQkkAAF,005fn000006vfZMAAY
003fn00000DaQklAAF,005fn000006vfZOAAY
003fn00000DaQknAAF,005fn000006vfZOAAY
003fn00000DaQkpAAF,005fn000006vfZMAAY
003fn00000DaQkqAAF,005fn000006vfZOAAY
003fn00000DaQkrAAF,005fn000006vfZJAAY
003fn00000DaQksAAF,005fn000006vfZJAAY
003fn00000DaQktAAF,005fn000006vfZKAAY
003fn00000DaQkuAAF,005fn000006vfZJAAY
003fn00000DaQkvAAF,005fn000006vfZQAAY
003fn00000DaQkwAAF,005fn000006vfZJAAY
003fn00000DaQkxAAF,005fn000006vfZQAAY
003fn00000DaQkyAAF,005fn000006vfZQAAY
003fn00000DaQkzAAF,005fn000006vfZLAAY
003fn00000DaQl0AAF,005fn000006vfZOAAY
003fn00000DaQl1AAF,005fn000006vfZJAAY
003fn00000DaQl2AAF,005fn000006vfZOAAY
003fn00000DaQl3AAF,005fn000006vfZPAAY
003fn00000DaQl4AAF,005fn000006vfZJAAY
003fn00000DaQl5AAF,005fn000006vfZJAAY
003fn00000DaQl6AAF,005fn000006vfZQAAY
003fn00000DaQl7AAF,005fn000006vfZLAAY
003fn00000DaQl8AAF,005fn000006vfZIAAY
003fn00000DaQl9AAF,005fn000006vfZNAAY
003fn00000DaQlAAAV,005fn000006vfZNAAY
003fn00000DaQlBAAV,005fn000006vfZFAAY
003fn00000DaQlCAAV,005fn000006vfZPAAY
003fn00000DaQlDAAV,005fn000006vfZPAAY
003fn00000DaQlEAAV,005fn000006vfZKAAY
003fn00000DaQlFAAV,005fn000006vfZOAAY
003fn00000DaQlGAAV,005fn000006vfZQAAY
003fn00000DaQlHAAV,005fn000006vfZQAAY
003fn00000DaQlIAAV,005fn000006vfZOAAY
003fn00000DaQlJAAV,005fn000006vfZQAAY
003fn00000DaQlKAAV,005fn000006vfZQAAY
003fn00000DaQlLAAV,005fn000006vfZOAAY
003fn00000DaQlMAAV,005fn000006vfZJAAY
003fn00000DaQlNAAV,005fn000006vfZQAAY
003fn00000DaQlOAAV,005fn000006vfZOAAY
003fn00000DaQlPAAV,005fn000006vfZMAAY
003fn00000DaQlQAAV,005fn000006vfZJAAY
003fn00000DaQlRAAV,005fn000006vfZKAAY
003fn00000DaQlSAAV,005fn000006vfZJAAY
003fn00000DaQlTAAV,005fn000006vfZQAAY
003fn00000DaQlUAAV,005fn000006vfZQAAY
003fn00000DaQlVAAV,005fn000006vfZJAAY
003fn00000DaQlWAAV,005fn000006vfZPAAY
003fn00000DaQlXAAV,005fn000006vfZJAAY
003fn00000DaQlYAAV,005fn000006vfZPAAY
003fn00000DaQlaAAF,005fn000006vfZHAAY
003fn00000DaQlbAAF,005fn000006vfZQAAY
003fn00000DaQlcAAF,005fn000006vfZOAAY
003fn00000DaQldAAF,005fn000006vfZLAAY
003fn00000DaQleAAF,005fn000006vfZIAAY
003fn00000DaQlfAAF,005fn000006vfZJAAY
003fn00000DaQlgAAF,005fn000006vfZLAAY
003fn00000DaQlhAAF,005fn000006vfZJAAY
003fn00000DaQliAAF,005fn000006vfZQAAY
003fn00000DaQljAAF,005fn000006vfZMAAY
003fn00000DaQlkAAF,005fn000006vfZJAAY
003fn00000DaQllAAF,005fn000006vfZKAAY
003fn00000DaQlmAAF,005fn000006vfZIAAY
003fn00000DaQlnAAF,005fn000006vfZIAAY
003fn00000DaQloAAF,005fn000006vfZJAAY
003fn00000DaQlpAAF,005fn000006vfZIAAY
003fn00000DaQlqAAF,005fn000006vfZPAAY
003fn00000DaQlrAAF,005fn000006vfZKAAY
003fn00000DaQlsAAF,005fn000006vfZQAAY
003fn00000DaQltAAF,005fn000006vfZPAAY
003fn00000DaQluAAF,005fn000006vfZOAAY
003fn00000DaQlvAAF,005fn000006vfZLAAY
003fn00000DaQlwAAF,005fn000006vfZMAAY
003fn00000DaQlxAAF,005fn000006vfZLAAY
003fn00000DaQlyAAF,005fn000006vfZMAAY
003fn00000DaQlzAAF,005fn000006vfZOAAY
003fn00000DaQm0AAF,005fn000006vfZJAAY
003fn00000DaQm2AAF,005fn000006vfZJAAY
003fn00000DaQm3AAF,005fn000006vfZMAAY
003fn00000DaQm4AAF,005fn000006vfZMAAY
003fn00000DaRS1AAN,005fn000006vfZOAAY
003fn00000DaRS2AAN,005fn000006vfZIAAY
003fn00000DaRS3AAN,005fn000006vfZMAAY
003fn00000DaRS4AAN,005fn000006vfZIAAY
003fn00000DaRS5AAN,005fn000006vfZOAAY
003fn00000DaRS6AAN,005fn000006vfZMAAY
003fn00000DaRS7AAN,005fn000006vfZLAAY
003fn00000DaRS8AAN,005fn000006vfZOAAY
003fn00000DaRS9AAN,005fn000006vfZJAAY
003fn00000DaRSAAA3,005fn000006vfZOAAY
003fn00000DaRSBAA3,005fn000006vfZIAAY
003fn00000DaRSCAA3,005fn000006vfZIAAY
003fn00000DaRSDAA3,005fn000006vfZPAAY
003fn00000DaRSEAA3,005fn000006vfZLAAY
003fn00000DaRSFAA3,005fn000006vfZPAAY
003fn00000DaRSGAA3,005fn000006vfZQAAY
003fn00000DaRSHAA3,005fn000006vfZLAAY
003fn00000DaRSIAA3,005fn000006vfZIAAY
003fn00000DaRSJAA3,005fn000006vfZJAAY
003fn00000DaRSKAA3,005fn000006vfZIAAY
003fn00000DaRSLAA3,005fn000006vfZOAAY
003fn00000DaRSMAA3,005fn000006vfZMAAY
003fn00000DaRSNAA3,005fn000006vfZIAAY
003fn00000DaRSOAA3,005fn000006vfZIAAY
003fn00000DaRSPAA3,005fn000006vfZPAAY
003fn00000DaRSQAA3,005fn000006vfZJAAY
003fn00000DaRSRAA3,005fn000006vfZLAAY
003fn00000DaRSSAA3,005fn000006vfZMAAY
003fn00000DaRSTAA3,005fn000006vfZPAAY
003fn00000DaRSVAA3,005fn000006vfZQAAY
003fn00000DaRSWAA3,005fn000006vfZJAAY
003fn00000DaRSXAA3,005fn000006vfZLAAY
003fn00000DaRSYAA3,005fn000006vfZOAAY
003fn00000DaRSZAA3,005fn000006vfZJAAY
003fn00000DaRSaAAN,005fn000006vfZJAAY
003fn00000DaRSbAAN,005fn000006vfZJAAY
003fn00000DaRScAAN,005fn000006vfZJAAY
003fn00000DaRSdAAN,005fn000006vfZQAAY
003fn00000DaRShAAN,005fn000006vfZOAAY
003fn00000DaRSiAAN,005fn000006vfZJAAY
003fn00000DaRSjAAN,005fn000006vfZQAAY
003fn00000DaRSkAAN,005fn000006vfZPAAY
003fn00000DaRSmAAN,005fn000006vfZJAAY
003fn00000DaRSpAAN,005fn000006vfZIAAY
003fn00000DaRSqAAN,005fn000006vfZQAAY
003fn00000DaRSzAAN,005fn000006vfZQAAY
